keys,fr,en
COMMON_BACK,RETOUR,BACK
COMMON_MENU,MENU,MENU
COMMON_CONTINUE,CONTINUER,CONTINUE
COMMON_REPLAY,REJOUER,PLAY AGAIN
COMMON_CLOSE,FERMER,CLOSE
COMMON_COINS_FMT,Pièces : %s,Coins: %s
MODE_CLASSIC,CLASSIQUE,CLASSIC
MODE_JETPACK,JETPACK,JETPACK
MODE_MIX,MIX,MIX
MENU_STORY,HISTOIRE,STORY
MENU_TOURNAMENT,TOURNOI,TOURNAMENT
MENU_COSMETICS,COSMÉTIQUE,COSMETICS
MENU_CHALLENGES,DÉFIS,CHALLENGES
MENU_BEST_CLASSIC_FMT,Classique : %s m,Classic: %s m
MENU_BEST_JETPACK_FMT,Jetpack : %s m,Jetpack: %s m
MENU_UNLOCK_CLASSIC,Termine le chapitre 1,Finish chapter 1
MENU_UNLOCK_JETPACK,Termine le chapitre 20,Finish chapter 20
SETTINGS_TITLE,RÉGLAGES,SETTINGS
SETTINGS_VOLUME,VOLUME,VOLUME
SETTINGS_MASTER,Général,Master
SETTINGS_MUSIC,Musique,Music
SETTINGS_SFX,Effets,Effects
SETTINGS_OTHER,AUTRE,OTHER
SETTINGS_VIBRATION,Vibrations,Vibration
SETTINGS_LANGUAGE,Langue,Language
PAUSE_TITLE,PAUSE,PAUSED
PAUSE_RESUME,REPRENDRE,RESUME
GAMEOVER_TITLE,GAME OVER,GAME OVER
GAMEOVER_DISTANCE_FMT,Distance : %s m,Distance: %s m
GAMEOVER_COINS_RUN_FMT,Pièces ce run : %s,Coins this run: %s
GAMEOVER_BEST_FMT,Record : %s m,Best: %s m
HUD_DISTANCE_FMT,%s m,%s m
HUD_PU_SHIELD,BOUCLIER,SHIELD
HUD_PU_BOOST,BOOST,BOOST
HUD_PU_SLOWMO,RALENTI,SLOW-MO
HUD_PU_MAGNET,AIMANT,MAGNET
HUD_PU_MEGABOOST,MÉGA-BOOST,MEGA-BOOST
SHOP_TAB_SKINS,SKINS,SKINS
SHOP_TAB_TRAILS,SANG,BLOOD
SHOP_TAB_THEMES,THÈMES,THEMES
SHOP_EQUIPPED,ÉQUIPÉ,EQUIPPED
SHOP_EQUIP,ÉQUIPER,EQUIP
SHOP_BUY,ACHETER,BUY
SHOP_PRICE_FMT,Prix : %s,Price: %s
SHOP_FREE,Gratuit,Free
SHOP_LOCK_CHALLENGE_FMT,🔒 Défi : %s,🔒 Challenge: %s
SHOP_LOCK_REWARD,🔒 Récompense de défi,🔒 Challenge reward
MISSIONS_DAILY,DÉFIS DU JOUR,DAILY CHALLENGES
MISSIONS_CLAIMED,✓ Réclamé,✓ Claimed
MISSIONS_CLAIM_FMT,RÉCLAMER %s,CLAIM %s
MISSIONS_UNLOCKS_FMT,🎁 Débloque : %s,🎁 Unlocks: %s
MISSIONS_PROG_M,%s/%s m,%s/%s m
MISSIONS_PROG_COINS,%s/%s pièces,%s/%s coins
MISSIONS_PROG_TIME,%ss/%ss,%ss/%ss
MISSIONS_PROG_GAMES,%s/%s parties,%s/%s games
MISSIONS_PROG_CHAPTER,Chapitre %s/%s,Chapter %s/%s
MISSIONS_PROG_DODGE,%s/%s esquives,%s/%s dodges
MISSIONS_PROG_POWERUPS,%s/%s power-ups,%s/%s power-ups
MISSIONS_PROG_DEATHS,%s/%s morts,%s/%s deaths
MISSIONS_PROG_SKINS,%s/%s skins,%s/%s skins
MISSIONS_PROG_TRAILS,%s/%s trails,%s/%s trails
MISSIONS_PROG_THEMES,%s/%s thèmes,%s/%s themes
MISSIONS_PROG_TODO,À accomplir,To complete
MISSIONS_NOT_EQUIPPED,Non équipé,Not equipped
MISSIONS_EQUIPPED,Équipé,Equipped
CAMPAIGN_ARCHIVES,ARCHIVES,ARCHIVES
READER_PLAY,JOUER,PLAY
CHAPTER_END_SUCCESS,CHAPITRE RÉUSSI,CHAPTER COMPLETE
CHAPTER_END_REWARD_FMT,+ %s pièces,+ %s coins
CHAPTER_END_FAILURE,TU ES TOMBÉ,YOU FELL
CHAPTER_END_RETRY_PROMPT,On réessaie ?,Try again?
CHAPTER_END_RETRY,RÉESSAYER,RETRY
CHAPTER_END_BACK_CAMPAIGN,RETOUR CAMPAGNE,BACK TO CAMPAIGN
COOP_START,DÉMARRER,START
COOP_PLAYERS,JOUEURS,PLAYERS
COOP_MODE,MODE,MODE
COOP_ROUNDS,MANCHES,ROUNDS
COOP_NICKNAMES,PSEUDOS (optionnel),NICKNAMES (optional)
COOP_PLAYER_FMT,Joueur %d,Player %d
COOP_TURN_OF,AU TOUR DE,UP NEXT
COOP_READY,PRÊT,READY
COOP_ROUND_FMT,MANCHE %d / %d,ROUND %d / %d
COOP_FINAL_ROUND,ROUND FINAL,FINAL ROUND
COOP_FINAL_ROUND_FMT,Round final : %s,Final round: %s
COOP_FINAL_RANKING,CLASSEMENT FINAL,FINAL RANKING
COOP_OVERALL_RANKING,CLASSEMENT GÉNÉRAL,OVERALL STANDINGS
COOP_BEST_ROUND_FMT,Meilleur ce round : %s m  (%s),Best this round: %s m  (%s)
COOP_BEST_TOURNAMENT_FMT,Meilleur du tournoi : %s m,Tournament best: %s m
COOP_TOURNAMENT_BEST_BANNER,MEILLEUR DU TOURNOI !,TOURNAMENT BEST!
COOP_TIE,ÉGALITÉ !,TIE!
COOP_TIEBREAK_BETWEEN,Départage entre :,Tiebreaker between:
COOP_START_TIEBREAK,C'EST PARTI,LET'S GO!
